ID;Tag;Start;Dauer;Avg. HR;RMSSD;SDNN;pNN50;RRmin;RRmean;RRmax;LF;HF;LF/HF;Total
235;25.01.16;05:38:10;0:10:37.879000;40.9777286;141.3;127.93;40.93;1186;1464.21;1838;2700.96;4375.65;0.62;7211.42
236;24.01.16;06:21:46;0:11:27.579000;43.44740691;124;132.67;39.88;1104;1380.98;1730;2323.3;3792.24;0.61;6130.96
237;23.01.16;06:05:00;0:11:02.122000;44.84137364;132.34;131.57;39.63;1076;1338.05;1730;2116.62;4655.38;0.45;6890.29
238;22.01.16;05:19:25;0:10:24.055000;40.86358374;162.89;164.58;40.57;1123;1468.3;1929;4037.96;6311.6;0.64;10748.31
239;21.01.16;05:32:29;0:11:22.747000;44.56592786;153.93;151.88;41.77;1006;1346.32;1775;4127.36;6859.92;0.6;11214.02
240;20.01.16;05:35:38;0:11:01.736000;43.70374687;148;141.88;41.6;992;1372.88;1771;1720.38;5337.33;0.32;7173.41
241;19.01.16;05:40:36;0:10:01.174000;41.81242944;180.13;203.5;38.89;938;1434.98;1890;4259.66;7802.72;0.55;12692.07
242;18.01.16;05:21:15;0:10:01.467000;41.1339252;148.77;138.52;41.81;1151;1458.65;1839;2723.68;4539.85;0.6;7384.03
243;17.01.16;06:04:24;0:11:05.285000;44.64651125;152.41;161.06;39.49;700;1343.89;1849;3706.72;6162.34;0.6;10450.45
244;16.01.16;06:10:46;0:12:09.155000;45.47590535;152.15;127.43;43.23;1018;1319.38;1640;2420.22;6252.33;0.39;8624.08
245;15.01.16;05:21:52;0:10:01.418000;47.17945492;132.49;167.22;37.2;977;1271.74;1728;3425.88;4689.7;0.73;9007.98
246;14.01.16;05:37:18;0:11:06.545000;46.43208147;128.1;153;36.74;945;1292.21;1759;2245.53;4020.84;0.56;6502.69
247;13.01.16;05:38:18;0:10:27.649000;47.85261395;119.82;133.23;35.74;953;1253.85;1774;2417.23;3148.22;0.77;5905.05
248;12.01.16;05:36:55;0:10:13.400000;42.0424208;178.85;175.17;40.53;1016;1427.13;2164;5739.94;8228.76;0.7;14154.14
